,Name,RA,DEC,z,logMBH,err_logMBH+,err_logMBH-,M_vir,J_estimate
0,NGC4138,182.375,43.685,0.003,6.8,0.5,0.5,11.581453323364258,1.1615094737526638e+18
1,NGC3227,155.877,19.865,0.00386,6.7,0.1,0.1,11.383625984191895,1.0885837322212002e+17
2,NGC1068,40.67,-0.013,0.0037,7.2,0.1,0.1,11.643074035644531,2.492187952638277e+18
3,NGC4151,182.636,39.406,0.00332,7.4,0.0,0.0,12.150630950927734,1.2666413006968932e+18
4,M87,187.706,12.391,0.003725735251181294,9.5,1.0,1.0,13.716460227966309,1.1136996738902922e+22
5,Mrk3,93.901,71.037,0.0135,8.7,0.3,0.3,14.19221305847168,2.2656675579244742e+22
7,M31,10.685,41.269,0.00017573887597348447,7.7,0.4,0.2,11.835684776306152,1.7442240246417203e+19
8,Mrk501,253.468,39.76,0.0337,9.2,0.3,0.3,14.62919807434082,4.444636169978877e+22
9,NGC1142,43.801,-0.184,0.0288,9.4,0.5,0.5,14.508610725402832,3.1251120467308716e+22
10,NGC5252,204.567,4.542,0.023,9.0,0.4,0.0,13.883811950683594,1.8078609887572892e+22
11,Mrk841,226.005,10.438,0.0364,8.5,0.7,0.7,14.025725364685059,2.879011889368638e+22
12,NGC7603,349.736,0.243,0.0295,8.1,0.3,0.3,13.48647403717041,1.9173021899240596e+22
13,3C382,278.764,32.696,0.05787,8.8,0.1,0.1,14.43001651763916,3.585103135962898e+22
14,NGC5273,205.535,35.654,0.003619,6.7,0.1,0.2,13.219298362731934,5.402807989642736e+20
15,NGC5576,215.265,3.271,0.00496,8.3,0.3,0.4,13.141899108886719,6.108387047977554e+20
16,Mrk421,166.114,38.209,0.03,8.3,0.3,0.3,13.813843727111816,8.882158015374452e+21
17,NGC1275,49.951,41.512,0.0176,8.5,0.7,0.7,13.637282371520996,3.00009947254914e+21
18,NGC4649,190.917,11.553,0.0038878596472455233,9.3,0.5,1.0,12.931746482849121,3.0157227774940165e+20
19,PG1617+175,245.047,17.408,0.11244,8.7,0.1,0.1,14.68538761138916,4.2875169671660775e+22
20,Mrk279,208.264,69.308,0.03045,7.4,0.1,0.1,13.393717765808105,6.170994491597457e+21
21,PG1426+015,217.277,1.285,0.08657,9.0,0.1,0.2,14.034760475158691,2.366792585115494e+22
22,3C390.3,280.537,79.771,0.0561,8.7,0.0,0.0,13.686104774475098,1.213693224111067e+22
23,NGC3998,179.484,55.454,0.003262585431583781,8.3,2.0,1.7,12.673135757446289,1.6938202490990025e+20
24,S52116+81,318.502,82.08,0.086,8.8,0.5,0.5,13.979220390319824,1.8451598355587767e+22
25,QSOB1957+405,299.868,40.734,0.0561,9.4,0.1,0.1,13.58373737335205,9.133191669645848e+21
26,NGC4374,186.266,12.887,0.004258472143935648,8.6,3.2,1.7,12.679741859436035,1.737291636652394e+20
27,3C111,64.589,38.027,0.0485,9.5,0.8,0.8,13.76980209350586,6.407731660846952e+21
28,NGC4552,188.916,12.556,0.0035404642344646414,8.7,0.8,0.8,12.493622779846191,1.1275632036088568e+20
29,M81,148.888,69.065,0.0009019587711920658,7.9,0.2,0.1,11.835006713867188,1.3899138913338116e+19
30,NGC3379,161.957,12.582,0.0024522957611298564,8.0,0.6,0.5,12.118616104125977,5.171266781346747e+19
31,Ark120,79.047,-0.15,0.03271,8.1,0.0,0.1,13.804224967956543,2.493177419549457e+21
32,NGC4342,185.913,7.054,0.0035404642344646414,8.5,1.7,1.0,12.309821128845215,8.86920753967477e+19
33,3C273,187.278,2.052,0.15834,8.8,0.1,0.1,14.219758987426758,1.9168392954561314e+22
34,NGC4621,190.509,11.647,0.004235307157432246,8.6,0.6,0.6,12.36410140991211,8.800735446834322e+19
35,NGC4261,184.847,5.825,0.007318294141995329,8.7,1.0,1.1,12.643852233886719,1.856891788754002e+20
36,NGC5846,226.622,1.606,0.005764696322913101,9.0,2.0,2.0,12.379684448242188,1.1943546529313672e+20
37,PG2130+099,323.116,10.139,0.06298,7.4,0.1,0.1,12.885257720947266,3.961364661738935e+21
38,NGC5845,226.503,1.634,0.005996510250322792,8.4,0.4,1.4,12.341166496276855,1.1816285859457724e+20
39,NGC1023,40.1,39.063,0.0026374798709238706,7.6,0.0,0.0,12.09282112121582,3.1246921275854225e+19
40,IGRJ13091+1137,197.273,11.634,0.025,8.5,0.5,0.5,13.056889533996582,8.37862823872822e+20
41,NGC5813,225.297,1.702,0.007457473326908105,8.8,1.1,1.1,12.375114440917969,1.1959130959212134e+20
42,NGC4473,187.454,13.429,0.003633097933553254,8.0,0.4,1.0,11.91225528717041,3.951336410351158e+19
43,NGC3414,162.818,27.975,0.005834238079113971,8.4,0.4,0.4,12.392657279968262,7.540983596021518e+19
44,4C74.26,310.655,75.134,0.104,9.6,0.5,0.5,13.647407531738281,5.404271675816857e+21
45,NGC4459,187.25,13.979,0.003725735251181294,7.8,0.1,0.1,11.887328147888184,3.5603126049223246e+19
46,NGC4486B,187.633,12.49,0.003934182933497911,8.8,3.0,2.0,11.777398109436035,3.6664922699056357e+19
