,Name,RA,DEC,z,logMBH,err_logMBH+,err_logMBH-,M_vir,infall_velocity[c]
0,NGC4388,186.446,12.662,0.0084,7.2,0.6,0.6,10.72607421875,0.013270239018449911
1,M81,148.888,69.065,0.0009019587711920658,7.9,0.2,0.1,11.835006713867188,0.029708364604458196
2,NGC5055,198.955,42.029,0.002012542765386605,8.9,1.9,1.9,11.46556282043457,0.09394609770881517
3,M87,187.706,12.391,0.003725735251181294,9.5,1.0,1.0,13.716460227966309,0.18744710839678302
4,NGC4649,190.917,11.553,0.0038878596472455233,9.3,0.5,1.0,12.931746482849121,0.14889453071698783
5,NGC4258,184.74,47.304,0.0015,7.6,0.0,0.0,11.506382942199707,0.0210319114826731
6,NGC2787,139.828,69.203,0.001734846968052505,7.6,0.0,0.0,11.426669120788574,0.0210319114826731
7,NGC4552,188.916,12.556,0.0035404642344646414,8.7,0.8,0.8,12.493622779846191,0.07462403795227793
8,NGC3379,161.957,12.582,0.0024522957611298564,8.0,0.6,0.5,12.118616104125977,0.03333333333333333
9,NGC4486B,187.633,12.49,0.003934182933497911,8.8,3.0,2.0,11.777398109436035,0.08372954771698608
10,NGC3377,161.927,13.986,0.0025911824374368845,8.0,0.9,0.1,11.345807075500488,0.03333333333333333
11,NGC4342,185.913,7.054,0.0035404642344646414,8.5,1.7,1.0,12.309821128845215,0.059275980334630766
12,NGC3998,179.484,55.454,0.003262585431583781,8.3,2.0,1.7,12.673135757446289,0.047084584820758515
13,NGC4621,190.509,11.647,0.004235307157432246,8.6,0.6,0.6,12.36410140991211,0.06650874383229596
14,NGC4374,186.266,12.887,0.004258472143935648,8.6,3.2,1.7,12.679741859436035,0.06650874383229596
15,NGC5846,226.622,1.606,0.005764696322913101,9.0,2.0,2.0,12.379684448242188,0.10540925533894598
16,NGC1023,40.1,39.063,0.0026374798709238706,7.6,0.0,0.0,12.09282112121582,0.0210319114826731
17,NGC4473,187.454,13.429,0.003633097933553254,8.0,0.4,1.0,11.91225528717041,0.03333333333333333
18,NGC3245,156.827,28.507,0.004837673072597061,8.3,1.0,0.6,11.996625900268555,0.047084584820758515
19,NGC4564,189.112,11.439,0.003470991375874604,7.7,0.0,0.1,11.750619888305664,0.023598192812804602
20,NGC5576,215.265,3.271,0.00496,8.3,0.3,0.4,13.141899108886719,0.047084584820758515
21,NGC4459,187.25,13.979,0.003725735251181294,7.8,0.1,0.1,11.887328147888184,0.026477607824142713
22,NGC3384,162.07,12.629,0.002683778183013566,7.2,0.0,0.0,11.4395170211792,0.013270239018449911
23,NGC3608,169.246,18.149,0.005324313979684878,8.3,1.0,0.6,11.83038330078125,0.047084584820758515
24,NGC4291,185.074,75.371,0.006066058985837616,8.5,1.3,1.1,12.380258560180664,0.059275980334630766
25,NGC3414,162.818,27.975,0.005834238079113971,8.4,0.4,0.4,12.392657279968262,0.05282977308203714
26,NGC4151,182.636,39.406,0.00332,7.4,0.0,0.0,12.150630950927734,0.016706241120909085
27,NGC5813,225.297,1.702,0.007457473326908105,8.8,1.1,1.1,12.375114440917969,0.08372954771698608
28,NGC4395,186.453,33.547,0.00106,5.4,0.1,0.1,11.717451095581055,0.0016706241120909083
29,NGC5845,226.503,1.634,0.005996510250322792,8.4,0.4,1.4,12.341166496276855,0.05282977308203714
30,NGC4261,184.847,5.825,0.007318294141995329,8.7,1.0,1.1,12.643852233886719,0.07462403795227793
31,NGC1068,40.67,-0.013,0.0037,7.2,0.1,0.1,11.643074035644531,0.013270239018449911
32,NGC4138,182.375,43.685,0.003,6.8,0.5,0.5,11.581453323364258,0.0083729547716986
33,NGC4486a,187.74,12.27,0.003934182933497911,7.1,0.1,0.1,11.114766120910645,0.01182711297445251
34,NGC4596,189.983,10.176,0.006460207950157904,7.9,0.4,0.3,11.459268569946289,0.029708364604458196
35,NGC2748,138.429,76.475,0.005811057267096305,7.7,0.4,0.4,11.152621269226074,0.023598192812804602
36,NGC821,32.088,10.995,0.005579261962052439,7.6,0.2,0.2,12.049056053161621,0.0210319114826731
37,NGC7457,345.25,30.145,0.0030541981443654503,6.5,0.0,0.0,10.14240550994873,0.005927598033463076
38,NGC5273,205.535,35.654,0.003619,6.7,0.1,0.2,13.219298362731934,0.0074624037952278
39,NGC4051,180.79,44.531,0.00234,5.9,0.1,0.1,10.570831298828125,0.0029708364604458196
40,NGC3227,155.877,19.865,0.00386,6.7,0.1,0.1,11.383625984191895,0.0074624037952278
41,NGC2778,138.102,35.028,0.005301138293684061,7.1,0.2,0.1,11.87102222442627,0.01182711297445251
42,NGC7332,339.352,23.798,0.005324313979684878,7.1,0.1,0.0,11.096056938171387,0.01182711297445251
43,Mrk3,93.901,71.037,0.0135,8.7,0.3,0.3,14.19221305847168,0.07462403795227793
44,NGC7052,319.638,26.447,0.01361296509441662,8.5,2.3,1.3,12.589387893676758,0.059275980334630766
45,NGC3079,150.491,55.68,0.004791331676739128,6.4,0.0,0.0,11.526668548583984,0.005282977308203715
